filename,defect_type,severity
data\clean\clean_0000.jpg,clean,none
data\clean\clean_0001.jpg,clean,none
data\clean\clean_0002.jpg,clean,none
data\clean\clean_0003.jpg,clean,none
data\clean\clean_0004.jpg,clean,none
data\clean\clean_0005.jpg,clean,none
data\clean\clean_0006.jpg,clean,none
data\clean\clean_0007.jpg,clean,none
data\clean\clean_0008.jpg,clean,none
data\clean\clean_0009.jpg,clean,none
data\clean\clean_0010.jpg,clean,none
data\clean\clean_0011.jpg,clean,none
data\clean\clean_0012.jpg,clean,none
data\clean\clean_0013.jpg,clean,none
data\clean\clean_0014.jpg,clean,none
data\clean\clean_0015.jpg,clean,none
data\clean\clean_0016.jpg,clean,none
data\clean\clean_0017.jpg,clean,none
data\clean\clean_0018.jpg,clean,none
data\clean\clean_0019.jpg,clean,none
data\clean\clean_0020.jpg,clean,none
data\clean\clean_0021.jpg,clean,none
data\clean\clean_0022.jpg,clean,none
data\clean\clean_0023.jpg,clean,none
data\clean\clean_0024.jpg,clean,none
data\clean\clean_0025.jpg,clean,none
data\clean\clean_0026.jpg,clean,none
data\clean\clean_0027.jpg,clean,none
data\clean\clean_0028.jpg,clean,none
data\clean\clean_0029.jpg,clean,none
data\clean\clean_0030.jpg,clean,none
data\clean\clean_0031.jpg,clean,none
data\clean\clean_0032.jpg,clean,none
data\clean\clean_0033.jpg,clean,none
data\clean\clean_0034.jpg,clean,none
data\clean\clean_0035.jpg,clean,none
data\clean\clean_0036.jpg,clean,none
data\clean\clean_0037.jpg,clean,none
data\clean\clean_0038.jpg,clean,none
data\clean\clean_0039.jpg,clean,none
data\clean\clean_0040.jpg,clean,none
data\clean\clean_0041.jpg,clean,none
data\clean\clean_0042.jpg,clean,none
data\clean\clean_0043.jpg,clean,none
data\clean\clean_0044.jpg,clean,none
data\clean\clean_0045.jpg,clean,none
data\clean\clean_0046.jpg,clean,none
data\clean\clean_0047.jpg,clean,none
data\clean\clean_0048.jpg,clean,none
data\clean\clean_0049.jpg,clean,none
data\clean\clean_0050.jpg,clean,none
data\clean\clean_0051.jpg,clean,none
data\clean\clean_0052.jpg,clean,none
data\clean\clean_0053.jpg,clean,none
data\clean\clean_0054.jpg,clean,none
data\clean\clean_0055.jpg,clean,none
data\clean\clean_0056.jpg,clean,none
data\clean\clean_0057.jpg,clean,none
data\clean\clean_0058.jpg,clean,none
data\clean\clean_0059.jpg,clean,none
data\clean\clean_0060.jpg,clean,none
data\clean\clean_0061.jpg,clean,none
data\clean\clean_0062.jpg,clean,none
data\clean\clean_0063.jpg,clean,none
data\clean\clean_0064.jpg,clean,none
data\clean\clean_0065.jpg,clean,none
data\clean\clean_0066.jpg,clean,none
data\clean\clean_0067.jpg,clean,none
data\clean\clean_0068.jpg,clean,none
data\clean\clean_0069.jpg,clean,none
data\clean\clean_0070.jpg,clean,none
data\clean\clean_0071.jpg,clean,none
data\clean\clean_0072.jpg,clean,none
data\clean\clean_0073.jpg,clean,none
data\clean\clean_0074.jpg,clean,none
data\clean\clean_0075.jpg,clean,none
data\clean\clean_0076.jpg,clean,none
data\clean\clean_0077.jpg,clean,none
data\clean\clean_0078.jpg,clean,none
data\clean\clean_0079.jpg,clean,none
data\synthetic\clean_0000_blur_mild.jpg,blur,mild
data\synthetic\clean_0000_blur_medium.jpg,blur,medium
data\synthetic\clean_0000_blur_severe.jpg,blur,severe
data\synthetic\clean_0000_underexposure_mild.jpg,underexposure,mild
data\synthetic\clean_0000_underexposure_medium.jpg,underexposure,medium
data\synthetic\clean_0000_underexposure_severe.jpg,underexposure,severe
data\synthetic\clean_0000_overexposure_mild.jpg,overexposure,mild
data\synthetic\clean_0000_overexposure_medium.jpg,overexposure,medium
data\synthetic\clean_0000_overexposure_severe.jpg,overexposure,severe
data\synthetic\clean_0000_noise_mild.jpg,noise,mild
data\synthetic\clean_0000_noise_medium.jpg,noise,medium
data\synthetic\clean_0000_noise_severe.jpg,noise,severe
data\synthetic\clean_0000_corruption_mild.jpg,corruption,mild
data\synthetic\clean_0000_corruption_medium.jpg,corruption,medium
data\synthetic\clean_0000_corruption_severe.jpg,corruption,severe
data\synthetic\clean_0000_visual_defect_mild.jpg,visual_defect,mild
data\synthetic\clean_0000_visual_defect_medium.jpg,visual_defect,medium
data\synthetic\clean_0000_visual_defect_severe.jpg,visual_defect,severe
data\synthetic\clean_0001_blur_mild.jpg,blur,mild
data\synthetic\clean_0001_blur_medium.jpg,blur,medium
data\synthetic\clean_0001_blur_severe.jpg,blur,severe
data\synthetic\clean_0001_underexposure_mild.jpg,underexposure,mild
data\synthetic\clean_0001_underexposure_medium.jpg,underexposure,medium
data\synthetic\clean_0001_underexposure_severe.jpg,underexposure,severe
data\synthetic\clean_0001_overexposure_mild.jpg,overexposure,mild
data\synthetic\clean_0001_overexposure_medium.jpg,overexposure,medium
data\synthetic\clean_0001_overexposure_severe.jpg,overexposure,severe
data\synthetic\clean_0001_noise_mild.jpg,noise,mild
data\synthetic\clean_0001_noise_medium.jpg,noise,medium
data\synthetic\clean_0001_noise_severe.jpg,noise,severe
data\synthetic\clean_0001_corruption_mild.jpg,corruption,mild
data\synthetic\clean_0001_corruption_medium.jpg,corruption,medium
data\synthetic\clean_0001_corruption_severe.jpg,corruption,severe
data\synthetic\clean_0001_visual_defect_mild.jpg,visual_defect,mild
data\synthetic\clean_0001_visual_defect_medium.jpg,visual_defect,medium
data\synthetic\clean_0001_visual_defect_severe.jpg,visual_defect,severe
data\synthetic\clean_0002_blur_mild.jpg,blur,mild
data\synthetic\clean_0002_blur_medium.jpg,blur,medium
data\synthetic\clean_0002_blur_severe.jpg,blur,severe
data\synthetic\clean_0002_underexposure_mild.jpg,underexposure,mild
data\synthetic\clean_0002_underexposure_medium.jpg,underexposure,medium
data\synthetic\clean_0002_underexposure_severe.jpg,underexposure,severe
data\synthetic\clean_0002_overexposure_mild.jpg,overexposure,mild
data\synthetic\clean_0002_overexposure_medium.jpg,overexposure,medium
data\synthetic\clean_0002_overexposure_severe.jpg,overexposure,severe
data\synthetic\clean_0002_noise_mild.jpg,noise,mild
data\synthetic\clean_0002_noise_medium.jpg,noise,medium
data\synthetic\clean_0002_noise_severe.jpg,noise,severe
data\synthetic\clean_0002_corruption_mild.jpg,corruption,mild
data\synthetic\clean_0002_corruption_medium.jpg,corruption,medium
data\synthetic\clean_0002_corruption_severe.jpg,corruption,severe
data\synthetic\clean_0002_visual_defect_mild.jpg,visual_defect,mild
data\synthetic\clean_0002_visual_defect_medium.jpg,visual_defect,medium
data\synthetic\clean_0002_visual_defect_severe.jpg,visual_defect,severe
data\synthetic\clean_0003_blur_mild.jpg,blur,mild
data\synthetic\clean_0003_blur_medium.jpg,blur,medium
data\synthetic\clean_0003_blur_severe.jpg,blur,severe
data\synthetic\clean_0003_underexposure_mild.jpg,underexposure,mild
data\synthetic\clean_0003_underexposure_medium.jpg,underexposure,medium
data\synthetic\clean_0003_underexposure_severe.jpg,underexposure,severe
data\synthetic\clean_0003_overexposure_mild.jpg,overexposure,mild
data\synthetic\clean_0003_overexposure_medium.jpg,overexposure,medium
data\synthetic\clean_0003_overexposure_severe.jpg,overexposure,severe
data\synthetic\clean_0003_noise_mild.jpg,noise,mild
data\synthetic\clean_0003_noise_medium.jpg,noise,medium
data\synthetic\clean_0003_noise_severe.jpg,noise,severe
data\synthetic\clean_0003_corruption_mild.jpg,corruption,mild
data\synthetic\clean_0003_corruption_medium.jpg,corruption,medium
data\synthetic\clean_0003_corruption_severe.jpg,corruption,severe
data\synthetic\clean_0003_visual_defect_mild.jpg,visual_defect,mild
data\synthetic\clean_0003_visual_defect_medium.jpg,visual_defect,medium
data\synthetic\clean_0003_visual_defect_severe.jpg,visual_defect,severe
data\synthetic\clean_0004_blur_mild.jpg,blur,mild
data\synthetic\clean_0004_blur_medium.jpg,blur,medium
data\synthetic\clean_0004_blur_severe.jpg,blur,severe
data\synthetic\clean_0004_underexposure_mild.jpg,underexposure,mild
data\synthetic\clean_0004_underexposure_medium.jpg,underexposure,medium
data\synthetic\clean_0004_underexposure_severe.jpg,underexposure,severe
data\synthetic\clean_0004_overexposure_mild.jpg,overexposure,mild
data\synthetic\clean_0004_overexposure_medium.jpg,overexposure,medium
data\synthetic\clean_0004_overexposure_severe.jpg,overexposure,severe
data\synthetic\clean_0004_noise_mild.jpg,noise,mild
data\synthetic\clean_0004_noise_medium.jpg,noise,medium
data\synthetic\clean_0004_noise_severe.jpg,noise,severe
data\synthetic\clean_0004_corruption_mild.jpg,corruption,mild
data\synthetic\clean_0004_corruption_medium.jpg,corruption,medium
data\synthetic\clean_0004_corruption_severe.jpg,corruption,severe
data\synthetic\clean_0004_visual_defect_mild.jpg,visual_defect,mild
data\synthetic\clean_0004_visual_defect_medium.jpg,visual_defect,medium
data\synthetic\clean_0004_visual_defect_severe.jpg,visual_defect,severe
data\synthetic\clean_0005_blur_mild.jpg,blur,mild
data\synthetic\clean_0005_blur_medium.jpg,blur,medium
data\synthetic\clean_0005_blur_severe.jpg,blur,severe
data\synthetic\clean_0005_underexposure_mild.jpg,underexposure,mild
data\synthetic\clean_0005_underexposure_medium.jpg,underexposure,medium
data\synthetic\clean_0005_underexposure_severe.jpg,underexposure,severe
data\synthetic\clean_0005_overexposure_mild.jpg,overexposure,mild
data\synthetic\clean_0005_overexposure_medium.jpg,overexposure,medium
data\synthetic\clean_0005_overexposure_severe.jpg,overexposure,severe
data\synthetic\clean_0005_noise_mild.jpg,noise,mild
data\synthetic\clean_0005_noise_medium.jpg,noise,medium
data\synthetic\clean_0005_noise_severe.jpg,noise,severe
data\synthetic\clean_0005_corruption_mild.jpg,corruption,mild
data\synthetic\clean_0005_corruption_medium.jpg,corruption,medium
data\synthetic\clean_0005_corruption_severe.jpg,corruption,severe
data\synthetic\clean_0005_visual_defect_mild.jpg,visual_defect,mild
data\synthetic\clean_0005_visual_defect_medium.jpg,visual_defect,medium
data\synthetic\clean_0005_visual_defect_severe.jpg,visual_defect,severe
data\synthetic\clean_0006_blur_mild.jpg,blur,mild
data\synthetic\clean_0006_blur_medium.jpg,blur,medium
data\synthetic\clean_0006_blur_severe.jpg,blur,severe
data\synthetic\clean_0006_underexposure_mild.jpg,underexposure,mild
data\synthetic\clean_0006_underexposure_medium.jpg,underexposure,medium
data\synthetic\clean_0006_underexposure_severe.jpg,underexposure,severe
data\synthetic\clean_0006_overexposure_mild.jpg,overexposure,mild
data\synthetic\clean_0006_overexposure_medium.jpg,overexposure,medium
data\synthetic\clean_0006_overexposure_severe.jpg,overexposure,severe
data\synthetic\clean_0006_noise_mild.jpg,noise,mild
data\synthetic\clean_0006_noise_medium.jpg,noise,medium
data\synthetic\clean_0006_noise_severe.jpg,noise,severe
data\synthetic\clean_0006_corruption_mild.jpg,corruption,mild
data\synthetic\clean_0006_corruption_medium.jpg,corruption,medium
data\synthetic\clean_0006_corruption_severe.jpg,corruption,severe
data\synthetic\clean_0006_visual_defect_mild.jpg,visual_defect,mild
data\synthetic\clean_0006_visual_defect_medium.jpg,visual_defect,medium
data\synthetic\clean_0006_visual_defect_severe.jpg,visual_defect,severe
data\synthetic\clean_0007_blur_mild.jpg,blur,mild
data\synthetic\clean_0007_blur_medium.jpg,blur,medium
data\synthetic\clean_0007_blur_severe.jpg,blur,severe
data\synthetic\clean_0007_underexposure_mild.jpg,underexposure,mild
data\synthetic\clean_0007_underexposure_medium.jpg,underexposure,medium
data\synthetic\clean_0007_underexposure_severe.jpg,underexposure,severe
data\synthetic\clean_0007_overexposure_mild.jpg,overexposure,mild
data\synthetic\clean_0007_overexposure_medium.jpg,overexposure,medium
data\synthetic\clean_0007_overexposure_severe.jpg,overexposure,severe
data\synthetic\clean_0007_noise_mild.jpg,noise,mild
data\synthetic\clean_0007_noise_medium.jpg,noise,medium
data\synthetic\clean_0007_noise_severe.jpg,noise,severe
data\synthetic\clean_0007_corruption_mild.jpg,corruption,mild
data\synthetic\clean_0007_corruption_medium.jpg,corruption,medium
data\synthetic\clean_0007_corruption_severe.jpg,corruption,severe
data\synthetic\clean_0007_visual_defect_mild.jpg,visual_defect,mild
data\synthetic\clean_0007_visual_defect_medium.jpg,visual_defect,medium
data\synthetic\clean_0007_visual_defect_severe.jpg,visual_defect,severe
data\synthetic\clean_0008_blur_mild.jpg,blur,mild
data\synthetic\clean_0008_blur_medium.jpg,blur,medium
data\synthetic\clean_0008_blur_severe.jpg,blur,severe
data\synthetic\clean_0008_underexposure_mild.jpg,underexposure,mild
data\synthetic\clean_0008_underexposure_medium.jpg,underexposure,medium
data\synthetic\clean_0008_underexposure_severe.jpg,underexposure,severe
data\synthetic\clean_0008_overexposure_mild.jpg,overexposure,mild
data\synthetic\clean_0008_overexposure_medium.jpg,overexposure,medium
data\synthetic\clean_0008_overexposure_severe.jpg,overexposure,severe
data\synthetic\clean_0008_noise_mild.jpg,noise,mild
data\synthetic\clean_0008_noise_medium.jpg,noise,medium
data\synthetic\clean_0008_noise_severe.jpg,noise,severe
data\synthetic\clean_0008_corruption_mild.jpg,corruption,mild
data\synthetic\clean_0008_corruption_medium.jpg,corruption,medium
data\synthetic\clean_0008_corruption_severe.jpg,corruption,severe
data\synthetic\clean_0008_visual_defect_mild.jpg,visual_defect,mild
data\synthetic\clean_0008_visual_defect_medium.jpg,visual_defect,medium
data\synthetic\clean_0008_visual_defect_severe.jpg,visual_defect,severe
data\synthetic\clean_0009_blur_mild.jpg,blur,mild
data\synthetic\clean_0009_blur_medium.jpg,blur,medium
data\synthetic\clean_0009_blur_severe.jpg,blur,severe
data\synthetic\clean_0009_underexposure_mild.jpg,underexposure,mild
data\synthetic\clean_0009_underexposure_medium.jpg,underexposure,medium
data\synthetic\clean_0009_underexposure_severe.jpg,underexposure,severe
data\synthetic\clean_0009_overexposure_mild.jpg,overexposure,mild
data\synthetic\clean_0009_overexposure_medium.jpg,overexposure,medium
data\synthetic\clean_0009_overexposure_severe.jpg,overexposure,severe
data\synthetic\clean_0009_noise_mild.jpg,noise,mild
data\synthetic\clean_0009_noise_medium.jpg,noise,medium
data\synthetic\clean_0009_noise_severe.jpg,noise,severe
data\synthetic\clean_0009_corruption_mild.jpg,corruption,mild
data\synthetic\clean_0009_corruption_medium.jpg,corruption,medium
data\synthetic\clean_0009_corruption_severe.jpg,corruption,severe
data\synthetic\clean_0009_visual_defect_mild.jpg,visual_defect,mild
data\synthetic\clean_0009_visual_defect_medium.jpg,visual_defect,medium
data\synthetic\clean_0009_visual_defect_severe.jpg,visual_defect,severe
data\synthetic\clean_0010_blur_mild.jpg,blur,mild
data\synthetic\clean_0010_blur_medium.jpg,blur,medium
data\synthetic\clean_0010_blur_severe.jpg,blur,severe
data\synthetic\clean_0010_underexposure_mild.jpg,underexposure,mild
data\synthetic\clean_0010_underexposure_medium.jpg,underexposure,medium
data\synthetic\clean_0010_underexposure_severe.jpg,underexposure,severe
data\synthetic\clean_0010_overexposure_mild.jpg,overexposure,mild
data\synthetic\clean_0010_overexposure_medium.jpg,overexposure,medium
data\synthetic\clean_0010_overexposure_severe.jpg,overexposure,severe
data\synthetic\clean_0010_noise_mild.jpg,noise,mild
data\synthetic\clean_0010_noise_medium.jpg,noise,medium
data\synthetic\clean_0010_noise_severe.jpg,noise,severe
data\synthetic\clean_0010_corruption_mild.jpg,corruption,mild
data\synthetic\clean_0010_corruption_medium.jpg,corruption,medium
data\synthetic\clean_0010_corruption_severe.jpg,corruption,severe
data\synthetic\clean_0010_visual_defect_mild.jpg,visual_defect,mild
data\synthetic\clean_0010_visual_defect_medium.jpg,visual_defect,medium
data\synthetic\clean_0010_visual_defect_severe.jpg,visual_defect,severe
data\synthetic\clean_0011_blur_mild.jpg,blur,mild
data\synthetic\clean_0011_blur_medium.jpg,blur,medium
data\synthetic\clean_0011_blur_severe.jpg,blur,severe
data\synthetic\clean_0011_underexposure_mild.jpg,underexposure,mild
data\synthetic\clean_0011_underexposure_medium.jpg,underexposure,medium
data\synthetic\clean_0011_underexposure_severe.jpg,underexposure,severe
data\synthetic\clean_0011_overexposure_mild.jpg,overexposure,mild
data\synthetic\clean_0011_overexposure_medium.jpg,overexposure,medium
data\synthetic\clean_0011_overexposure_severe.jpg,overexposure,severe
data\synthetic\clean_0011_noise_mild.jpg,noise,mild
data\synthetic\clean_0011_noise_medium.jpg,noise,medium
data\synthetic\clean_0011_noise_severe.jpg,noise,severe
data\synthetic\clean_0011_corruption_mild.jpg,corruption,mild
data\synthetic\clean_0011_corruption_medium.jpg,corruption,medium
data\synthetic\clean_0011_corruption_severe.jpg,corruption,severe
data\synthetic\clean_0011_visual_defect_mild.jpg,visual_defect,mild
data\synthetic\clean_0011_visual_defect_medium.jpg,visual_defect,medium
data\synthetic\clean_0011_visual_defect_severe.jpg,visual_defect,severe
data\synthetic\clean_0012_blur_mild.jpg,blur,mild
data\synthetic\clean_0012_blur_medium.jpg,blur,medium
data\synthetic\clean_0012_blur_severe.jpg,blur,severe
data\synthetic\clean_0012_underexposure_mild.jpg,underexposure,mild
data\synthetic\clean_0012_underexposure_medium.jpg,underexposure,medium
data\synthetic\clean_0012_underexposure_severe.jpg,underexposure,severe
data\synthetic\clean_0012_overexposure_mild.jpg,overexposure,mild
data\synthetic\clean_0012_overexposure_medium.jpg,overexposure,medium
data\synthetic\clean_0012_overexposure_severe.jpg,overexposure,severe
data\synthetic\clean_0012_noise_mild.jpg,noise,mild
data\synthetic\clean_0012_noise_medium.jpg,noise,medium
data\synthetic\clean_0012_noise_severe.jpg,noise,severe
data\synthetic\clean_0012_corruption_mild.jpg,corruption,mild
data\synthetic\clean_0012_corruption_medium.jpg,corruption,medium
data\synthetic\clean_0012_corruption_severe.jpg,corruption,severe
data\synthetic\clean_0012_visual_defect_mild.jpg,visual_defect,mild
data\synthetic\clean_0012_visual_defect_medium.jpg,visual_defect,medium
data\synthetic\clean_0012_visual_defect_severe.jpg,visual_defect,severe
data\synthetic\clean_0013_blur_mild.jpg,blur,mild
data\synthetic\clean_0013_blur_medium.jpg,blur,medium
data\synthetic\clean_0013_blur_severe.jpg,blur,severe
data\synthetic\clean_0013_underexposure_mild.jpg,underexposure,mild
data\synthetic\clean_0013_underexposure_medium.jpg,underexposure,medium
data\synthetic\clean_0013_underexposure_severe.jpg,underexposure,severe
data\synthetic\clean_0013_overexposure_mild.jpg,overexposure,mild
data\synthetic\clean_0013_overexposure_medium.jpg,overexposure,medium
data\synthetic\clean_0013_overexposure_severe.jpg,overexposure,severe
data\synthetic\clean_0013_noise_mild.jpg,noise,mild
data\synthetic\clean_0013_noise_medium.jpg,noise,medium
data\synthetic\clean_0013_noise_severe.jpg,noise,severe
data\synthetic\clean_0013_corruption_mild.jpg,corruption,mild
